feature,score
stg3_tparam1_std,84
stg9_tparam2_std,84
stg6_tparam2_max,84
stg7_tparam5_std,84
stg10_tparam14_min,84
stg7_tparam10_max,84
stg9_tparam5_std,84
stg5_tparam2_max,83
stg1_tparam8_mean,83
stg2_tparam14_std,83
tparam3_max_min,83
tparam8_max,83
stg5_tparam1_max_min,82
stg3_tparam10_min,82
stg9_tparam16_min,82
stg9_tparam2_max_min,82
stg8_tparam2_std,82
stg5_tparam3_min,81
stg3_tparam7_max,81
stg1_tparam1_std,81
stg4_tparam2_min,81
stg4_tparam3_min,81
stg7_tparam7_min,81
stg6_tparam14_max_min,80
tparam2_mean,80
tparam5_std,80
stg6_tparam14_std,80
stg3_tparam3_max,80
stg6_tparam3_std,79
tparam7_max_min,79
stg9_tparam16_max_min,79
stg10_tparam3_cnt,79
stg7_tparam5_max_min,79
stg8_tparam3_std,79
stg5_tparam7_max,78
tparam3_std,78
stg7_tparam2_max,78
stg9_tparam3_mean,78
stg8_tparam7_max,78
stg9_tparam3_std,78
draft_param2_0,77
stg4_tparam3_max_min,77
stg1_tparam14_mean,77
stg5_tparam10_max,77
stg1_tparam16_std,77
stg2_tparam1_std,77
stg4_tparam2_max,77
stg10_tparam18_min,76
tparam3_max,76
stg6_tparam1_max_min,76
stg5_tparam3_max,76
stg8_tparam3_max_min,76
stg7_tparam2_std,75
stg2_tparam10_median,74
stg7_tparam3_std,74
stg2_tparam7_median,74
stg10_tparam8_std,73
stg3_tparam5_max,73
stg9_tparam10_min,73
tparam4_max,73
stg9_tparam7_max,73
stg7_tparam3_max_min,73
stg6_tparam17_std,73
stg1_tparam14_min,73
stg3_tparam7_min,73
tparam7_max,73
stg10_tparam18_median,73
tparam2_median,72
stg8_tparam3_max,72
stg9_tparam2_min,72
stg6_tparam14_median,71
stg1_tparam6_median,71
stg9_tparam16_std,71
tparam15_mean,71
tparam5_max_min,70
stg7_tparam2_max_min,70
stg2_tparam17_min,70
tparam4_median,70
stg1_tparam18_min,70
tparam11_max_min,69
stg6_tparam2_min,69
tparam3_min,69
stg1_tparam8_min,69
stg3_tparam2_max,68
stg6_tparam7_min,68
stg8_tparam10_min,68
stg1_tparam9_min,68
stg9_tparam1_std,68
stg4_tparam3_std,68
stg4_tparam3_max,67
stg10_tparam14_cnt,67
stg9_tparam5_max_min,67
stg8_tparam2_max,67
tparam5_max,67
tparam1_mean,67
stg9_tparam7_min,67
stg7_tparam1_max_min,66
stg1_tparam9_median,66
stg4_tparam1_max_min,66
stg1_tparam18_max,66
stg5_tparam2_min,66
stg9_tparam1_max_min,66
stg4_tparam1_std,66
stg1_tparam10_cnt,65
tparam6_max,65
stg6_tparam5_max,65
stg4_tparam6_max,65
stg10_tparam1_median,65
tparam6_min,65
stg10_tparam1_mean,65
stg8_tparam7_min,64
tparam16_mean,64
stg8_tparam14_min,64
stg9_tparam14_mean,64
stg2_tparam9_max,64
stg2_tparam11_max,63
stg1_tparam17_mean,63
stg9_tparam10_max,63
stg3_tparam10_mean,63
tparam10_max_min,62
tparam14_mean,62
stg2_tparam6_mean,62
tparam9_std,61
tparam1_std,61
stg6_tparam10_max,60
stg1_tparam1_mean,60
tparam17_max_min,60
param3_1,60
stg1_tparam1_max,60
tparam14_max_min,60
stg9_tparam15_mean,60
stg9_tparam16_mean,60
stg9_tparam2_max,59
stg9_tparam11_max_min,59
stg3_tparam10_median,59
draft_param6,59
stg8_tparam2_min,59
stg8_tparam10_max,58
stg8_tparam5_max,58
stg10_tparam6_cnt,57
stg10_tparam17_cnt,57
tparam3_mean,57
stg10_tparam6_median,57
stg2_tparam10_mean,57
tparam1_median,57
stg7_tparam14_std,57
stg1_tparam14_std,56
stg2_tparam9_mean,56
stg8_tparam17_min,56
stg1_tparam8_median,56
stg2_tparam14_max,56
stg3_tparam7_mean,55
tparam4_std,55
tparam8_max_min,54
stg7_tparam3_max,54
draft_param4_0,53
stg6_tparam6_max,53
tparam5_mean,53
stg7_tparam10_min,53
stg9_tparam14_median,53
stg10_tparam9_max_min,52
stg4_tparam7_min,52
stg2_tparam14_mean,52
stg9_tparam17_min,52
stg7_tparam1_std,52
stg10_tparam9_std,52
tparam15_std,52
tparam18_mean,52
tparam7_min,51
stg2_tparam8_max,51
tparam4_mean,50
tparam10_min,50
tparam16_std,50
stg5_tparam8_max,50
stg10_tparam13_mean,49
stg3_tparam14_mean,49
stg9_tparam15_min,48
stg7_tparam13_std,48
stg9_tparam15_std,47
tparam14_std,47
tparam18_min,47
stg9_tparam6_cnt,47
tparam18_max_min,47
stg2_tparam1_max,47
stg9_tparam9_min,47
stg3_tparam9_max,47
stg4_tparam6_cnt,47
stg1_tparam18_median,46
tparam9_max_min,46
stg5_tparam14_max,46
stg2_tparam3_cnt,46
stg3_tparam17_min,46
stg9_tparam6_max,45
stg9_tparam8_max,45
stg7_tparam10_median,45
stg8_tparam14_mean,45
stg3_tparam6_cnt,44
stg6_tparam14_max,44
stg10_tparam15_cnt,44
stg6_tparam7_mean,44
stg1_tparam17_median,44
stg5_tparam10_cnt,44
tparam10_max,44
stg2_tparam11_min,44
stg5_tparam14_min,44
stg1_tparam12_std,43
stg4_tparam6_mean,43
tparam9_max,43
stg1_tparam18_mean,43
stg2_tparam8_mean,43
stg4_tparam7_mean,43
stg9_tparam6_mean,43
stg6_tparam3_max,43
stg3_tparam14_min,42
stg1_tparam1_median,42
stg7_tparam14_mean,42
stg4_tparam14_min,42
stg9_tparam7_mean,41
stg5_tparam6_cnt,41
tparam17_min,41
stg4_tparam17_min,41
stg9_tparam11_std,41
stg10_tparam12_cnt,40
stg6_tparam1_std,40
tparam6_cnt,40
stg3_tparam1_max,40
stg10_tparam13_cnt,40
draft_param1_0,40
stg3_tparam3_cnt,39
stg2_tparam14_median,39
tparam12_mean,39
stg5_tparam7_median,38
stg8_tparam7_mean,38
stg6_tparam10_median,38
tparam11_mean,38
stg7_tparam6_max,38
stg7_tparam6_cnt,38
stg10_tparam9_min,38
stg9_tparam10_mean,37
stg1_tparam1_cnt,37
stg3_tparam10_cnt,37
stg7_tparam10_mean,37
stg7_tparam6_min,37
stg8_tparam6_cnt,37
stg5_tparam10_mean,37
stg9_tparam10_median,37
tparam14_median,37
stg3_tparam14_median,36
stg5_tparam6_max,36
stg10_tparam1_max,36
stg6_tparam17_min,36
tparam17_std,36
stg5_tparam14_mean,36
stg6_tparam14_min,36
stg9_tparam11_median,36
stg1_tparam7_cnt,36
stg5_tparam17_min,36
stg6_tparam10_cnt,36
stg4_tparam6_median,35
stg4_tparam7_median,35
stg3_tparam14_max,35
stg9_tparam9_max,35
stg6_tparam6_cnt,35
stg8_tparam1_max,35
stg8_tparam6_max,35
stg8_tparam11_min,35
stg10_tparam1_min,35
stg3_tparam8_max,35
stg5_tparam7_mean,35
stg5_tparam8_min,34
stg2_tparam18_min,34
stg2_tparam9_min,34
stg2_tparam6_median,34
stg7_tparam17_min,34
stg3_tparam6_min,34
stg6_tparam6_min,34
stg1_tparam12_mean,34
draft_param7_2,34
stg7_tparam7_mean,33
tparam15_min,33
tparam14_max,33
stg4_tparam10_mean,33
stg6_tparam8_max,33
stg9_tparam7_median,33
stg10_tparam18_cnt,32
stg3_tparam18_min,32
stg9_tparam6_min,32
stg8_tparam10_median,32
stg4_tparam10_median,32
stg3_tparam2_cnt,32
stg9_tparam11_mean,31
stg2_tparam13_std,31
stg3_tparam6_median,31
stg8_tparam9_min,31
draft_param9,31
stg7_tparam14_min,31
stg1_tparam11_cnt,31
stg10_tparam16_cnt,30
param5_0,30
stg5_tparam10_median,30
stg4_tparam6_min,30
stg1_tparam2_cnt,30
stg4_tparam1_max,30
stg2_tparam18_mean,30
stg4_tparam9_max,29
draft_param6_0,29
stg3_tparam11_min,29
stg5_tparam9_max,29
stg2_tparam11_mean,29
stg4_tparam8_max,29
stg3_tparam7_median,29
stg8_tparam8_max,29
stg6_tparam2_cnt,29
stg5_tparam6_mean,28
tparam12_std,28
tparam7_median,28
stg10_tparam15_min,28
stg9_tparam8_min,28
stg8_tparam6_mean,28
stg9_tparam14_max_min,28
stg8_tparam14_median,28
stg3_tparam6_mean,27
stg4_tparam3_cnt,27
stg7_tparam1_max,27
tparam10_cnt,27
stg2_tparam17_mean,27
stg1_tparam17_cnt,27
tparam11_min,27
stg7_tparam14_median,27
stg7_tparam2_cnt,27
stg8_tparam6_min,27
stg7_tparam7_median,27
stg10_tparam16_min,27
stg3_tparam9_mean,27
stg7_tparam14_max,27
stg6_tparam14_mean,27
tparam3_cnt,27
stg9_tparam1_min,27
stg8_tparam11_max,27
stg2_tparam2_cnt,27
stg2_tparam1_min,26
stg6_tparam1_max,26
stg5_tparam14_median,26
stg6_tparam9_max,26
stg5_tparam1_max,26
stg9_tparam9_median,26
stg1_tparam15_cnt,26
stg2_tparam6_cnt,26
stg6_tparam7_median,26
stg1_tparam14_cnt,26
stg6_tparam6_mean,26
stg5_tparam2_cnt,25
stg4_tparam10_cnt,25
tparam12_max_min,25
tparam1_min,25
stg8_tparam14_max,25
stg8_tparam11_mean,25
tparam17_max,25
stg3_tparam9_min,24
stg9_tparam18_min,24
stg5_tparam3_cnt,24
stg7_tparam11_max,24
stg2_tparam1_mean,24
tparam8_min,24
stg9_tparam14_min,24
tparam6_mean,24
stg2_tparam8_min,24
stg9_tparam1_mean,24
stg8_tparam3_cnt,24
stg6_tparam6_median,24
stg10_tparam9_cnt,24
draft_param2_1,23
stg8_tparam9_max,23
stg2_tparam17_median,23
stg4_tparam11_min,23
stg10_tparam13_std,23
stg7_tparam10_cnt,23
stg4_tparam14_max,23
stg9_tparam10_cnt,23
stg1_tparam6_cnt,23
stg5_tparam9_min,23
stg4_tparam18_min,22
stg5_tparam6_min,22
stg9_tparam17_mean,22
stg5_tparam11_min,22
stg9_tparam1_max,22
stg10_tparam13_min,22
tparam13_std,22
stg7_tparam3_cnt,22
stg7_tparam6_mean,22
stg3_tparam8_min,22
stg8_tparam1_mean,22
tparam18_std,21
stg9_tparam11_min,21
stg2_tparam17_max,21
stg1_tparam8_cnt,21
stg3_tparam17_mean,21
stg10_tparam4_cnt,21
stg10_tparam1_cnt,21
stg9_tparam3_cnt,21
stg8_tparam18_min,21
stg3_tparam11_median,21
stg8_tparam6_median,20
tparam13_mean,20
stg4_tparam14_median,20
stg6_tparam18_min,20
stg8_tparam10_cnt,20
stg3_tparam11_cnt,20
stg10_tparam8_cnt,20
stg3_tparam18_max,20
stg1_tparam12_max_min,20
stg3_tparam8_mean,20
tparam11_max,20
stg2_tparam18_max,20
stg3_tparam17_max,19
stg2_tparam9_median,19
stg1_tparam9_cnt,19
stg10_tparam13_max_min,19
stg9_tparam6_median,19
stg10_tparam12_max,19
stg7_tparam9_max,19
stg4_tparam9_mean,19
stg9_tparam8_mean,19
stg3_tparam1_min,19
stg1_tparam3_cnt,19
tparam16_min,19
stg9_tparam14_std,19
stg8_tparam10_mean,18
stg6_tparam13_max_min,18
stg7_tparam9_min,18
stg8_tparam7_median,18
stg2_tparam11_median,18
stg5_tparam12_max_min,18
stg7_tparam17_max,18
stg7_tparam11_min,18
stg6_tparam9_mean,18
stg3_tparam1_mean,18
stg4_tparam2_cnt,18
stg8_tparam8_mean,18
stg1_tparam13_std,18
stg4_tparam8_mean,17
stg2_tparam8_median,17
tparam6_median,17
stg2_tparam8_cnt,17
stg9_tparam9_mean,17
stg7_tparam18_min,17
stg5_tparam9_mean,17
tparam7_cnt,17
stg3_tparam8_median,17
stg9_tparam11_max,17
tparam10_mean,17
tparam11_median,17
stg5_tparam18_min,17
stg8_tparam2_cnt,17
stg7_tparam8_max,17
stg2_tparam11_cnt,16
