feature,score
param1,18773
param2,6743
param8_0,3834
param8_3,3172
param8_1,3166
param8_4,3091
param4_0,2911
param8_5,2574
param8_2,2212
param6,2036
stg10_tparam10_cnt,1061
draft_param10_0,953
stg10_tparam10_mean,871
stg10_tparam10_max,802
stg10_tparam10_max_min,699
draft_param11_0,688
param4_1,686
stg10_tparam11_max,508
stg10_tparam10_std,503
draft_param10_1,492
stg10_tparam10_median,484
stg10_tparam15_max,472
stg10_tparam11_max_min,468
draft_param11_1,457
stg10_tparam10_min,411
stg10_tparam17_max,376
draft_param5,353
draft_param10_2,339
draft_param11_3,334
draft_param1_4,318
draft_param4,304
stg10_tparam15_median,302
stg10_tparam2_max,299
stg10_tparam2_median,293
stg10_tparam2_mean,287
stg10_tparam11_std,279
stg10_tparam11_cnt,279
param3_0,264
stg10_tparam11_mean,263
stg7_tparam16_median,263
stg2_tparam16_max,261
stg10_tparam2_min,259
stg10_tparam16_max,252
stg10_tparam17_max_min,252
stg10_tparam3_median,249
stg3_tparam16_std,243
stg10_tparam14_max,239
stg10_tparam16_max_min,238
stg9_tparam8_std,237
stg6_tparam15_median,236
stg3_tparam15_mean,231
stg7_tparam16_mean,231
stg4_tparam15_median,230
stg10_tparam5_max,229
stg10_tparam4_min,229
stg7_tparam16_std,228
stg10_tparam17_mean,227
stg10_tparam5_min,227
stg3_tparam16_max_min,223
stg8_tparam15_median,220
stg10_tparam11_min,220
stg10_tparam4_max,219
stg2_tparam16_median,217
stg10_tparam15_max_min,216
stg8_tparam6_max_min,216
stg2_tparam15_mean,215
stg1_tparam7_max,215
stg10_tparam4_max_min,215
stg1_tparam2_min,214
stg3_tparam5_median,214
stg10_tparam5_median,213
stg6_tparam16_min,213
stg10_tparam5_mean,212
stg7_tparam15_mean,211
stg4_tparam4_max_min,210
stg10_tparam14_max_min,210
stg4_tparam16_max,209
stg1_tparam4_max_min,208
stg3_tparam16_max,208
stg6_tparam6_max_min,207
stg10_tparam1_max_min,207
stg10_tparam7_max,207
stg1_tparam16_max,207
stg3_tparam15_median,206
stg1_tparam15_max,206
stg3_tparam16_mean,206
stg10_tparam16_median,205
stg10_tparam6_max,204
stg10_tparam3_mean,203
stg10_tparam4_median,202
stg5_tparam16_median,202
stg1_tparam2_max_min,201
stg5_tparam16_mean,201
stg1_tparam10_mean,200
stg2_tparam16_mean,200
stg10_tparam2_max_min,198
stg10_tparam4_mean,197
stg2_tparam7_max_min,196
stg2_tparam15_median,196
stg2_tparam16_max_min,195
stg1_tparam10_std,195
stg4_tparam16_std,195
stg6_tparam16_median,195
stg4_tparam15_max,193
stg5_tparam16_max,192
stg8_tparam4_max,191
stg8_tparam16_mean,191
stg7_tparam16_max,190
stg6_tparam15_mean,190
stg9_tparam6_max_min,190
stg2_tparam15_max,189
stg1_tparam10_max,189
stg9_tparam8_max_min,189
stg5_tparam15_median,188
stg3_tparam6_max_min,188
stg1_tparam3_max_min,188
stg4_tparam16_min,188
stg1_tparam2_median,187
stg5_tparam16_max_min,186
stg3_tparam16_median,185
stg10_tparam6_max_min,185
stg1_tparam10_max_min,184
stg6_tparam16_max_min,184
stg10_tparam3_min,182
stg3_tparam16_min,182
stg4_tparam15_mean,182
stg7_tparam5_mean,181
stg1_tparam6_max_min,181
stg4_tparam6_std,180
stg1_tparam5_median,180
stg10_tparam11_median,180
stg6_tparam16_max,178
stg3_tparam4_max_min,178
stg8_tparam15_max,177
stg8_tparam2_median,176
stg7_tparam4_max_min,176
stg1_tparam14_median,175
stg7_tparam4_std,175
stg10_tparam15_mean,175
stg9_tparam18_max_min,175
stg5_tparam16_std,174
stg7_tparam15_max,174
stg8_tparam15_mean,174
stg4_tparam2_median,173
stg10_tparam5_max_min,173
stg10_tparam3_max,172
stg7_tparam16_max_min,172
stg8_tparam16_median,171
stg2_tparam5_median,171
stg4_tparam16_median,171
stg5_tparam15_mean,170
stg6_tparam16_mean,170
stg2_tparam9_max_min,170
stg5_tparam15_min,170
stg10_tparam5_std,170
stg1_tparam6_std,169
stg1_tparam16_mean,168
stg4_tparam16_mean,168
stg10_tparam3_std,167
stg10_tparam7_mean,167
stg4_tparam15_min,167
stg3_tparam15_min,166
stg7_tparam10_std,166
stg6_tparam8_std,166
stg9_tparam5_median,166
stg10_tparam3_max_min,165
stg6_tparam9_std,165
stg7_tparam11_max_min,165
stg10_tparam14_std,164
stg1_tparam10_min,164
stg3_tparam15_max,164
stg6_tparam9_max_min,164
stg1_tparam2_max,163
stg7_tparam15_median,163
stg5_tparam2_median,163
stg4_tparam7_max_min,163
stg4_tparam6_max_min,163
stg10_tparam17_std,162
stg7_tparam16_min,161
stg2_tparam10_max_min,161
stg3_tparam3_median,161
stg5_tparam8_std,161
stg1_tparam17_max_min,161
stg5_tparam2_mean,160
stg9_tparam15_max,160
stg1_tparam15_mean,160
tparam5_median,159
stg8_tparam4_max_min,159
stg6_tparam8_max_min,158
stg6_tparam16_std,158
stg5_tparam16_min,157
stg2_tparam6_max_min,157
stg8_tparam16_min,157
stg1_tparam3_median,157
stg8_tparam4_std,157
stg2_tparam16_min,156
stg5_tparam15_std,155
stg7_tparam17_max_min,155
stg6_tparam6_std,155
stg8_tparam6_std,154
stg5_tparam18_max_min,154
stg5_tparam9_max_min,154
stg6_tparam15_max,154
stg4_tparam16_max_min,154
stg5_tparam9_std,154
stg6_tparam4_max_min,153
stg1_tparam2_mean,153
stg9_tparam6_std,153
stg1_tparam7_mean,153
stg3_tparam8_max_min,153
stg7_tparam7_max_min,153
stg5_tparam8_max_min,152
stg8_tparam4_median,152
stg4_tparam15_max_min,152
stg9_tparam16_median,152
stg10_tparam2_std,152
stg5_tparam15_max,150
stg5_tparam3_mean,150
stg4_tparam8_std,150
stg6_tparam4_std,150
stg4_tparam10_max_min,150
stg6_tparam11_max_min,149
stg7_tparam4_min,149
stg8_tparam17_max_min,149
stg10_tparam4_std,149
stg9_tparam5_mean,149
stg1_tparam15_max_min,149
stg3_tparam9_std,149
stg10_tparam6_std,148
stg6_tparam5_mean,148
stg2_tparam10_max,148
stg8_tparam11_max_min,148
stg6_tparam15_std,148
stg3_tparam10_max_min,147
stg1_tparam6_max,147
stg10_tparam18_max,147
stg2_tparam5_mean,147
stg5_tparam2_std,147
stg2_tparam15_min,147
stg4_tparam14_max_min,146
stg3_tparam15_std,146
stg1_tparam16_max_min,145
stg3_tparam9_max_min,145
stg4_tparam8_max_min,145
draft_param7,145
stg1_tparam1_min,145
stg9_tparam4_max,143
stg7_tparam9_std,143
stg2_tparam4_max_min,143
stg4_tparam15_std,143
stg2_tparam15_std,143
stg9_tparam16_max,142
stg1_tparam7_std,142
stg1_tparam15_median,142
stg1_tparam18_std,142
stg8_tparam16_max,142
stg3_tparam10_std,142
stg2_tparam15_max_min,142
stg1_tparam18_max_min,141
stg2_tparam8_std,141
stg10_tparam17_median,141
stg4_tparam4_std,140
stg4_tparam9_max_min,140
stg6_tparam15_max_min,140
stg2_tparam4_min,140
stg5_tparam18_std,140
draft_param1_1,140
stg1_tparam8_max_min,139
stg8_tparam18_std,139
stg5_tparam10_max_min,139
stg4_tparam4_max,139
stg4_tparam9_std,139
stg1_tparam16_median,139
stg1_tparam7_max_min,138
stg2_tparam4_mean,138
stg3_tparam3_std,138
stg8_tparam4_mean,138
stg3_tparam8_std,137
stg7_tparam9_max_min,137
stg10_tparam14_mean,137
stg2_tparam9_std,137
stg2_tparam16_std,137
stg6_tparam7_max_min,136
stg1_tparam4_std,136
stg10_tparam9_max,136
stg3_tparam4_std,136
stg8_tparam15_std,136
stg10_tparam17_min,136
stg3_tparam15_max_min,136
tparam15_max,136
stg1_tparam3_max,135
stg5_tparam10_std,135
stg7_tparam15_min,135
stg6_tparam11_std,134
stg7_tparam8_std,134
stg9_tparam2_median,134
stg7_tparam4_median,133
stg3_tparam3_min,133
stg1_tparam3_min,133
stg2_tparam17_max_min,133
stg1_tparam2_std,133
stg5_tparam11_max_min,133
stg2_tparam2_max_min,133
stg10_tparam9_mean,133
stg3_tparam3_max_min,132
stg3_tparam4_min,132
stg2_tparam4_median,132
stg8_tparam5_max_min,132
stg1_tparam8_max,132
stg10_tparam8_max,131
stg1_tparam11_max_min,131
stg9_tparam5_min,131
stg10_tparam8_mean,131
stg2_tparam7_max,130
stg1_tparam11_max,130
tparam6_std,130
stg4_tparam3_mean,130
stg10_tparam18_max_min,130
stg3_tparam14_max_min,130
stg8_tparam3_median,130
stg3_tparam18_std,129
stg10_tparam6_mean,129
stg1_tparam4_min,129
stg10_tparam6_min,129
stg5_tparam6_max_min,129
stg4_tparam2_mean,128
stg2_tparam18_max_min,128
stg1_tparam3_mean,128
stg9_tparam4_max_min,128
stg9_tparam10_max_min,127
stg1_tparam17_min,127
stg3_tparam7_std,127
stg6_tparam10_max_min,127
stg1_tparam5_min,127
stg7_tparam7_max,126
stg3_tparam2_mean,126
stg5_tparam15_max_min,126
stg7_tparam3_mean,126
stg10_tparam8_max_min,126
stg3_tparam5_mean,125
stg1_tparam3_std,125
stg5_tparam3_median,125
stg3_tparam6_std,125
stg7_tparam2_median,125
stg2_tparam4_std,125
stg5_tparam4_max_min,125
stg4_tparam10_std,125
stg7_tparam10_max_min,124
stg2_tparam10_min,124
stg1_tparam11_mean,124
stg6_tparam18_max_min,124
stg5_tparam2_max_min,124
stg2_tparam5_max_min,124
stg8_tparam7_max_min,124
stg5_tparam14_max_min,124
tparam10_std,124
stg8_tparam15_min,124
stg2_tparam3_mean,124
stg5_tparam4_mean,124
stg1_tparam7_min,124
stg2_tparam5_min,123
stg2_tparam6_max,123
stg1_tparam15_min,123
stg2_tparam4_max,123
stg8_tparam8_max_min,123
stg4_tparam3_median,123
stg5_tparam4_max,123
stg3_tparam3_mean,123
stg5_tparam7_max_min,123
stg5_tparam6_std,123
stg9_tparam10_std,123
stg6_tparam2_median,122
stg2_tparam7_std,122
stg6_tparam15_min,122
stg7_tparam18_max_min,122
stg3_tparam7_max_min,122
stg4_tparam5_max_min,122
stg3_tparam5_min,121
stg6_tparam17_max_min,121
stg2_tparam8_max_min,121
stg2_tparam3_max_min,121
stg3_tparam2_median,121
stg8_tparam15_max_min,121
stg1_tparam5_std,120
stg1_tparam17_std,120
stg4_tparam4_mean,120
stg6_tparam3_median,120
draft_param1_5,120
stg2_tparam10_std,119
stg6_tparam2_mean,119
tparam16_median,119
stg9_tparam4_mean,119
tparam15_max_min,119
stg1_tparam4_median,119
stg8_tparam16_max_min,119
stg8_tparam11_std,118
stg10_tparam7_min,117
stg3_tparam18_max_min,117
stg9_tparam15_median,116
stg2_tparam6_std,116
stg8_tparam9_std,116
stg8_tparam4_min,116
stg1_tparam9_mean,116
stg2_tparam18_std,115
stg1_tparam9_max_min,115
stg4_tparam5_min,115
stg4_tparam7_std,115
stg2_tparam11_max_min,114
stg4_tparam18_max_min,114
stg3_tparam17_max_min,114
stg1_tparam10_median,114
stg7_tparam6_max_min,114
stg4_tparam5_max,113
stg1_tparam7_median,113
stg4_tparam5_median,113
stg7_tparam5_max,113
param5,113
stg3_tparam4_max,113
stg7_tparam7_std,113
stg4_tparam5_mean,112
stg1_tparam11_std,112
stg4_tparam17_max_min,112
stg9_tparam9_max_min,112
stg7_tparam3_median,112
stg8_tparam8_std,112
stg7_tparam15_max_min,112
stg3_tparam4_median,112
stg7_tparam8_max_min,112
stg7_tparam5_min,111
stg1_tparam5_max,111
stg1_tparam15_std,111
stg3_tparam11_max_min,111
draft_param1_3,111
stg10_tparam9_median,110
stg8_tparam5_min,110
tparam15_median,110
stg7_tparam17_std,110
stg2_tparam2_median,110
stg9_tparam3_min,110
stg2_tparam14_max_min,110
stg6_tparam2_max_min,109
stg4_tparam4_min,109
stg2_tparam2_std,109
tparam6_max_min,109
tparam5_min,109
stg8_tparam3_mean,109
stg7_tparam5_median,109
stg2_tparam5_std,108
stg8_tparam10_max_min,108
stg9_tparam4_median,108
stg6_tparam18_std,108
stg5_tparam4_std,108
tparam2_max_min,108
stg7_tparam18_std,108
stg2_tparam3_std,108
stg8_tparam2_mean,107
stg1_tparam14_max,107
stg8_tparam14_max_min,107
stg5_tparam5_mean,107
stg1_tparam6_min,107
stg6_tparam3_mean,107
stg4_tparam10_min,107
tparam4_max_min,107
stg3_tparam1_max_min,107
stg1_tparam4_max,106
stg10_tparam18_std,106
stg3_tparam17_std,106
stg10_tparam14_median,106
tparam16_max,106
stg4_tparam4_median,106
stg4_tparam14_std,106
stg7_tparam4_max,105
stg9_tparam9_std,105
stg3_tparam4_mean,105
stg5_tparam7_std,105
stg10_tparam18_mean,105
stg9_tparam17_std,105
stg7_tparam11_std,105
stg6_tparam7_std,104
stg5_tparam3_max_min,104
stg5_tparam14_std,104
stg10_tparam7_median,104
stg8_tparam16_std,103
stg2_tparam2_mean,103
stg2_tparam5_max,103
stg5_tparam5_min,103
stg7_tparam2_mean,103
stg5_tparam4_min,103
stg5_tparam17_max_min,103
stg3_tparam2_min,102
stg2_tparam2_min,102
stg8_tparam5_median,102
stg10_tparam7_max_min,102
tparam2_max,102
stg9_tparam17_max_min,102
stg8_tparam5_mean,102
stg1_tparam5_max_min,101
stg7_tparam2_min,101
stg10_tparam15_std,101
stg6_tparam4_median,101
stg5_tparam5_max_min,100
stg5_tparam5_median,100
stg5_tparam17_std,100
stg8_tparam1_max_min,100
stg6_tparam5_median,100
draft_param11_4,100
stg9_tparam4_std,100
stg9_tparam18_std,100
stg1_tparam6_mean,100
stg6_tparam4_max,100
stg1_tparam5_mean,100
stg6_tparam3_min,99
stg4_tparam2_max_min,99
stg7_tparam4_mean,99
stg2_tparam2_max,99
stg4_tparam2_std,99
stg1_tparam11_median,99
stg2_tparam7_min,99
stg9_tparam3_max,99
stg1_tparam9_max,99
stg3_tparam5_max_min,98
stg2_tparam11_std,98
stg3_tparam2_max_min,98
stg9_tparam7_max_min,97
stg7_tparam6_std,97
stg5_tparam4_median,97
stg2_tparam3_median,97
stg4_tparam17_std,97
stg8_tparam18_max_min,97
stg6_tparam5_min,96
stg10_tparam16_mean,96
stg8_tparam9_max_min,96
stg1_tparam8_std,96
tparam11_std,96
stg2_tparam3_max,96
stg8_tparam7_std,96
stg8_tparam14_std,96
stg3_tparam6_max,95
stg8_tparam17_std,95
stg1_tparam1_max_min,95
stg5_tparam10_min,95
stg8_tparam2_max_min,95
stg10_tparam1_std,95
stg3_tparam10_max,94
stg9_tparam3_max_min,94
stg10_tparam7_std,94
stg8_tparam3_min,94
stg6_tparam4_mean,94
stg10_tparam13_max,94
stg3_tparam5_std,94
stg9_tparam4_min,93
stg6_tparam5_max_min,93
stg1_tparam4_mean,93
stg4_tparam10_max,93
stg8_tparam10_std,92
stg4_tparam11_std,92
tparam2_std,92
tparam7_std,92
stg6_tparam4_min,92
stg10_tparam8_median,92
stg1_tparam17_max,92
stg2_tparam1_max_min,92
stg5_tparam5_std,92
stg5_tparam7_min,91
tparam4_min,91
stg7_tparam3_min,90
stg5_tparam5_max,90
tparam2_min,90
stg3_tparam14_std,89
stg6_tparam10_std,89
stg4_tparam11_max_min,89
stg9_tparam2_mean,89
stg9_tparam3_median,89
tparam3_median,89
stg10_tparam16_std,89
stg6_tparam3_max_min,89
stg4_tparam18_std,89
stg2_tparam14_min,89
stg2_tparam17_std,89
stg9_tparam7_std,89
stg6_tparam2_std,88
stg10_tparam8_min,88
stg1_tparam16_min,88
stg4_tparam7_max,88
stg3_tparam2_std,88
stg6_tparam5_std,88
stg8_tparam1_std,88
stg1_tparam14_max_min,88
stg2_tparam3_min,88
tparam1_max_min,88
stg3_tparam11_std,88
stg2_tparam10_cnt,87
stg6_tparam10_min,87
stg9_tparam15_max_min,87
stg5_tparam11_std,87
stg9_tparam5_max,87
stg5_tparam1_std,87
tparam8_std,87
stg6_tparam7_max,86
stg5_tparam3_std,86
tparam17_mean,86
stg1_tparam11_min,86
tparam16_max_min,85
stg7_tparam15_std,85
stg8_tparam5_std,85
stg2_tparam6_min,85
param7_0,85
stg2_tparam7_mean,85
stg4_tparam5_std,85
stg7_tparam14_max_min,85
stg1_tparam9_std,84
stg10_tparam2_cnt,84
